ticker,sector
AAPL,Technology
MSFT,Technology
NVDA,Technology
AMZN,ConsumerDiscretionary
GOOGL,CommunicationServices
META,CommunicationServices
TSLA,ConsumerDiscretionary
AVGO,Technology
JPM,Financials
V,Financials
UNH,HealthCare
XOM,Energy
JNJ,HealthCare
WMT,ConsumerStaples
MA,Financials
PG,ConsumerStaples
HD,ConsumerDiscretionary
COST,ConsumerStaples
ORCL,Technology
NFLX,CommunicationServices
AMD,Technology
CRM,Technology
KO,ConsumerStaples
PEP,ConsumerStaples
ADBE,Technology
BAC,Financials
DIS,CommunicationServices
INTC,Technology
CSCO,Technology
QCOM,Technology
TXN,Technology
AMGN,HealthCare
HON,Industrials
LOW,ConsumerDiscretionary
SBUX,ConsumerDiscretionary
CAT,Industrials
GS,Financials
BLK,Financials
GE,Industrials
BA,Industrials
MMM,Industrials
PFE,HealthCare
T,CommunicationServices
VZ,CommunicationServices
CVX,Energy
NKE,ConsumerDiscretionary
MCD,ConsumerDiscretionary
IBM,Technology
GILD,HealthCare
ISRG,HealthCare
NOW,Technology
INTU,Technology
AMAT,Technology
MU,Technology
LRCX,Technology
ABBV,HealthCare
DHR,HealthCare
TMO,HealthCare
LIN,Materials
PYPL,Financials
